Associatividade,Buffer_Size,Tipo_Acesso,Miss_Ratio,Total_Cycles,Buffer_Size_KB
1,131072,random,0.7499,2366908800,128
1,131072,sequential,1.0,3009926600,128
1,16384,random,0.0,10051200,16
1,16384,sequential,0.0,10000400,16
1,32768,random,0.0001,10102400,32
1,32768,sequential,0.0,10000800,32
1,65536,random,0.5002,1677177600,64
1,65536,sequential,1.0,3010413000,64
1,8192,random,0.0,10025600,8
1,8192,sequential,0.0,10000200,8
2,131072,random,0.75,2366774600,128
2,131072,sequential,1.0,3010499200,128
2,16384,random,0.0,10051200,16
2,16384,sequential,0.0,10000400,16
2,32768,random,0.0001,10102400,32
2,32768,sequential,0.0,10000800,32
2,65536,random,0.4997,1675676800,64
2,65536,sequential,1.0,3009849600,64
2,8192,random,0.0,10025600,8
2,8192,sequential,0.0,10000200,8
4,131072,random,0.7499,2366413800,128
4,131072,sequential,1.0,3009646400,128
4,16384,random,0.0,10051200,16
4,16384,sequential,0.0,10000400,16
4,32768,random,0.0001,10102400,32
4,32768,sequential,0.0,10000800,32
4,65536,random,0.5001,1676690200,64
4,65536,sequential,1.0,3010255000,64
4,8192,random,0.0,10025600,8
4,8192,sequential,0.0,10000200,8
8,131072,random,0.75,2367331200,128
8,131072,sequential,1.0,3010004200,128
8,16384,random,0.0,10051200,16
8,16384,sequential,0.0,10000400,16
8,32768,random,0.0001,10102400,32
8,32768,sequential,0.0,10000800,32
8,65536,random,0.4999,1676152000,64
8,65536,sequential,0.0,10001600,64
8,8192,random,0.0,10025600,8
8,8192,sequential,0.0,10000200,8
